27-Enero-2018 => Estacion: Los Chillos;0.6;14.97
28-Enero-2018 => Estacion: Los Chillos;0.55;15.48
29-Enero-2018 => Estacion: Los Chillos;0.53;13.58
30-Enero-2018 => Estacion: Los Chillos;0.51;15.81
31-Enero-2018 => Estacion: Los Chillos;0.63;17.33
01-Febrero-2018 => Estacion: Cotocollao;0.77;22.83
02-Febrero-2018 => Estacion: Cotocollao;0.52;22.09
05-Febrero-2018 => Estacion: Cotocollao;0.47;6.03
06-Febrero-2018 => Estacion: Cotocollao;0.53;11.71
07-Febrero-2018 => Estacion: Cotocollao;0.36;11.33
08-Febrero-2018 => Estacion: Cotocollao;0.41;11.2
09-Febrero-2018 => Estacion: Cotocollao;0.43;14.14
10-Febrero-2018 => Estacion: Cotocollao;0.42;14.23
11-Febrero-2018 => Estacion: Cotocollao;0.39;17.53
12-Febrero-2018 => Estacion: Cotocollao;0.42;23.35
13-Febrero-2018 => Estacion: Cotocollao;0.4;23.27
14-Febrero-2018 => Estacion: Cotocollao;0.45;20.5
15-Febrero-2018 => Estacion: Cotocollao;0.48;15.11
16-Febrero-2018 => Estacion: Cotocollao;0.63;15.38
17-Febrero-2018 => Estacion: Cotocollao;0.62;17.74
18-Febrero-2018 => Estacion: Cotocollao;0.56;15.19
19-Febrero-2018 => Estacion: Cotocollao;0.62;11.94
20-Febrero-2018 => Estacion: Cotocollao;0.6;11.63
21-Febrero-2018 => Estacion: Cotocollao;0.71;12.18
22-Febrero-2018 => Estacion: Cotocollao;0.65;13.39
23-Febrero-2018 => Estacion: Cotocollao;0.48;9.95
24-Febrero-2018 => Estacion: Cotocollao;0.58;9.55
25-Febrero-2018 => Estacion: Cotocollao;0.51;10.02
26-Febrero-2018 => Estacion: Cotocollao;0.69;12.74
27-Febrero-2018 => Estacion: Cotocollao;0.51;13.12
28-Febrero-2018 => Estacion: Cotocollao;0.51;12.34
01-Febrero-2018 => Estacion: Carapungo;0.41;22.9
02-Febrero-2018 => Estacion: Carapungo;0.48;20.66
03-Febrero-2018 => Estacion: Carapungo;0.41;22.98
04-Febrero-2018 => Estacion: Carapungo;0.32;18.67
05-Febrero-2018 => Estacion: Carapungo;0.25;12.07
06-Febrero-2018 => Estacion: Carapungo;0.33;10.82
07-Febrero-2018 => Estacion: Carapungo;0.29;11.98
08-Febrero-2018 => Estacion: Carapungo;0.28;11.36
